name;authors;filename;source;category
Early Performance Evaluation for Collision Prevention based on a Domain Specific Language;Freek van den Berg, Anne Remke, Arjan Mooij, Boudewijn Haverkort;early_perf_evaluation;arXiv preprint arXiv:1610.08172;other
A Domain Specific Language & Toolset for Requirements Analysis of Safety-Critical Cyber-Physical Systems;Freek van den Berg, Boudewijn R Haverkort;Requirements_elicitation; ;adsl
Evaluating load balancing policies for performance and energy-efficiency;Freek van den Berg, Björn F Postema, Boudewijn R Haverkort;eval_load_balancer; ;idsl
Designing Cyber-Physical Systems with aDSL: a Domain-Specific Language and Toolchain;F van den Berg, B Tekinerdogan, V Garousi, B Haverkort;ictopen_adsl;ICT open 2018;adsl
Model-driven quality and resource management for CPSs;Freek van den Berg, Marc CW Geilen, AA Twan Basten;ictopen2020qrml;ICT. OPEN 2020;other
Strongly typed BPMN;Freek van den Berg;strongly_typed_bpmn;Master thesis Information Science;thesis
Evaluating the Performance of Business processes using iDSL;Freek van den Berg;fvdb_master_thesis;Master thesis Computing Science;thesis
Creating a meta model describing a production system's concepts and their relations;Freek van den Berg;bachelor_thesis;Bachelor thesis Information Science;thesis
Automated Performance Evaluation of Service-Oriented Systems;Freek van den Berg;thesis_F_van_den_Berg;PhD thesis Performance Evaluation;thesis
A Domain-Specific Language and Toolchain for Performance Evaluation Based on Measurements;Freek van den Berg, Jozef Hooman, Boudewijn R Haverkort;idsl_measurements;Measurement, Modelling and Evaluation of Computing Systems: 19th International GI/ITG Conference, MMB 2018, Erlangen, Germany;idsl
Evaluating load balancing policies for performance and energy-efficiency;Freek van den Berg, Björn Frits Postema, Boudewijn RHM Haverkort;evalloadbalancing;14th International Workshop on Quantitative Aspects of Programming Languages and Systems, QAPL 2016;idsl
iDSL: automated performance evaluation of service-oriented systems;Freek van den Berg, Boudewijn R Haverkort, Jozef Hooman;idsl_modeled;ModelEd, TestEd, TrustEd: Essays Dedicated to Ed Brinksma on the Occasion of His 60th Birthday;idsl
Efficiently computing latency distributions by combined performance evaluation techniques;Freek van den Berg, Boudewijn RHM Haverkort, Jozef Hooman;idsl_efficient;9th EAI International Conference on Performance Evaluation Methodologies and Tools 2015;idsl
QRML: A component language and toolset for quality and resource management;Freek van den Berg, Václav Čamra, Martijn Hendriks, Marc Geilen, Petr Hnetynka, Fernando Manteca, Pablo Sánchez, Tomáš Bureš, Twan Basten;qrml_fdl;2020 Forum for Specification and Design Languages (FDL);other
Early insight in systems design through modeling and simulation;Steven P Haveman, G Maarten Bonnema, Freek GB van den Berg;early_insight;Procedia Computer Science, 2014;other
Computing response time distributions using iterative probabilistic model checking;Freek Van Den Berg, Jozef Hooman, Arnd Hartmanns, Boudewijn R Haverkort, Anne Remke;compute_response_times;European Workshop on Performance Engineering;idsl
Performance evaluation for collision prevention based on a domain specific language;Freek van den Berg, Anne Remke, Arjan Mooij, Boudewijn Haverkort;early_perf_based_on_dsl;European Workshop on Performance Engineering, 276-287;other
iDSL: Automated performance prediction and analysis of medical imaging systems;Freek van den Berg, Anne Remke, Boudewijn R Haverkort;idslauto;European Workshop on Performance Engineering;idsl
A domain specific language for performance evaluation of medical imaging systems;Freek van den Berg, Anne Remke, Boudewijn R Haverkort;OASIcs.MCPS.2014.80;5th Workshop on Medical Cyber-Physical Systems (2014);idsl
Designing cyber-physical systems with aDSL: A domain-specific language and tool support;Freek Van Den Berg, Vahid Garousi, Bedir Tekinerdogan, Boudewijn R Haverkort;adsl;2018 13th Annual Conference on System of Systems Engineering (SoSE);adsl
Performance Prediction of Medical Imaging Systems;Freek van den Berg, Anne Remke, Boudewijn R. Haverkort;ctit2014;CTIT poster competition 2014;other
Designing Cyber-Physical Systems using aDSL: a Domain-Specific Language and Tool Support; Freek van den Berg, Vahid Garousi, Bedir Tekinerdogan, and Boudewijn R. Haverkort;sose2018poster;IEEE – 13th System of Systems Engineering Conference (Poster);adsl